category,views
Music,97097557.0
Entertainment,28047357.0
Comedy,16643490.0
Howto & Style,15926296.0
People & Blogs,7753285.0
Science & Technology,6537832.0
Film & Animation,6015279.0
Sports,2755539.0
News & Politics,1571196.0
Pets & Animals,1010302.0
